"id","raw","encodedpred","label","dist","training_count","not_exact"
"4993","1/4 cup thinly sliced sweet onion","1 / 4 cup thinly sliced sweet onion","yellow onion","yellow onion","0.1835076","164","False"
"3922","1/4 teaspoon salt, or to taste","1 / 4 teaspoon salt , or to taste","table salt","table salt","0.14102188","208","False"
"7999","1/4 cup olive oil","1 / 4 cup olive oil","olive oil","olive oil","0.10513668","223","False"
"8751","2 tablespoons chopped fresh flat-leaf parsley","2 tablespoons chopped fresh flat - leaf parsley","fresh parsley","fresh parsley","0.17067683","85","True"
"7225","2 x 12 inch stalks rhubarb","2 x 12 inch stalks rhubarb","rhubarb","rhubarb","0.079940364","1","False"
"7586","2 1/2 cups unsalted vegetable stock (such as Kitchen Basics)","2 1 / 2 cups unsalted vegetable stock ( such as Kitchen UNK )","vegetable broth","vegetable broth","0.23918103","29","True"
"1987","1/2 - 1 cup cottage cheese","1 / 2 - 1 cup cottage cheese","2% cottage cheese","2% cottage cheese","0.16323721","3","True"
"8263","3 sprigs thyme","3 sprigs thyme","fresh thyme","fresh thyme","0.10440317","32","False"
"6727","One 10-ounce bag frozen peas","One 10 - ounce bag frozen peas","frozen pea","frozen pea","0.13909014","12","False"
"443","1 Red Bell Pepper","1 Red UNK Pepper","red bell pepper","red bell pepper","0.18024778","60","False"
"7517","2 Granny Smith apples (peeled, cored and cut into 3/4 inch cubes)","2 Granny Smith apples ( peeled , cored and cut into 3 / 4 inch cubes )","apple","apple","0.3113839","20","True"
"6501","1/2 teaspoon sesame oil","1 / 2 teaspoon sesame oil","sesame oil","sesame oil","0.033477366","68","False"
"5070","1/2 onion, finely chopped (about 3/4 cup)","1 / 2 onion , finely chopped ( about 3 / 4 cup )","yellow onion","yellow onion","0.1514677","164","False"
"7199","1 tablespoon minced shallot or onion","1 tablespoon minced shallot or onion","shallot","shallot","0.21027854","35","False"
"4991","1 extra large fennel bulb, very thinly sliced ( a mandolin is great for this)","1 extra large fennel bulb , very thinly sliced ( a UNK is great for this )","fennel bulb","fennel bulb","0.11771652","7","False"
"8547","1/4 cup fresh parsley, chopped ((or 1 tablespoon dried))","1 / 4 cup fresh parsley , chopped ( ( or 1 tablespoon dried ) )","fresh parsley","fresh parsley","0.1018251","85","False"
"8161","2 scallions","2 scallions","green onion","green onion","0.13418478","109","False"
"539","2 tablespoons avocado oil (or other high-heat oil), divided","2 tablespoons avocado oil ( or other high - heat oil ) , divided","avocado oil","avocado oil","0.17958176","9","False"
"2059","1/2 cup packed brown sugar","1 / 2 cup packed brown sugar","light brown sugar","light brown sugar","0.12740618","32","False"
"622","1 large lemon, plus more fresh lemon juice for serving","1 large lemon , plus more fresh lemon juice for serving","lemon","lemon","0.24016052","28","False"
"8989","4 zucchini or yellow summer squash, halved lengthwise","4 zucchini or yellow summer squash , halved lengthwise","zucchini","zucchini","0.1102164","26","False"
"3537","1/4 cup (1-inch) diagonally cut green onions","1 / 4 cup ( 1 - inch ) diagonally cut green onions","green onion","green onion","0.12960316","109","False"
"7386","1 large zucchini, halved lengthwise and sliced","1 large zucchini , halved lengthwise and sliced","zucchini","zucchini","0.13843597","26","False"
"2008","12 chicken drumsticks","12 chicken drumsticks","chicken drumstick with skin","chicken drumstick with skin","0.11364544","5","False"
"3489","5 cloves garlic, minced","5 cloves garlic , minced","garlic","garlic","0.12544613","331","False"
"6460","2 cups finely-chopped broccoli florets","2 cups finely - chopped broccoli florets","broccoli floret","broccoli floret","0.13174757","7","False"
"7604","1 small red bell pepper, diced (3/4 cup)","1 small red bell pepper , diced ( 3 / 4 cup )","red bell pepper","red bell pepper","0.08904181","60","False"
"5031","1 T oil","1 T oil","vegetable oil","vegetable oil","0.10440907","80","False"
"7956","1/2 teaspoon ground sea salt","1 / 2 teaspoon ground sea salt","table salt","table salt","0.1901475","208","True"
"8387","2 tablespoons chopped fresh cilantro or parsley","2 tablespoons chopped fresh cilantro or parsley","cilantro","cilantro","0.19894832","117","False"
"88","1 garlic clove, minced","1 garlic clove , minced","garlic","garlic","0.19009636","331","False"
"7114","1 teaspoon olive oil (plus more as needed)","1 teaspoon olive oil ( plus more as needed )","olive oil","olive oil","0.095882","223","False"
"4479","6 cups water","6 cups water","tap water","tap water","0.081011906","92","False"
"7059","½ pound ground pork","1 / 2 pound ground pork","ground pork","ground pork","0.035934336","16","False"
"1432","1 teaspoon turmeric","1 teaspoon turmeric","ground turmeric","ground turmeric","0.15907827","28","False"
"2583","2 cups Cheddar cheese ((shredded))","2 cups Cheddar cheese ( ( shredded ) )","shredded yellow cheddar cheese","shredded yellow cheddar cheese","0.17595519","26","False"
"4547","1 garlic clove, thinly sliced","1 garlic clove , thinly sliced","garlic","garlic","0.20776683","331","False"
"341","3/4 cup part-skim shredded Mexican cheese blend, omit for W30","3 / 4 cup part - skim shredded Mexican cheese blend , omit for UNK","shredded Mexican blend cheese","shredded Mexican blend cheese","0.11174748","2","False"
"2560","1/4 cup mayonnaise","1 / 4 cup mayonnaise","regular mayonnaise","regular mayonnaise","0.1448406","33","False"
"7993","1 teaspoon smoked paprika","1 teaspoon smoked paprika","smoked paprika","smoked paprika","0.057099685","20","False"
"7210","2 cups vegetable broth","2 cups vegetable broth","vegetable broth","vegetable broth","0.043927718","29","False"
"4168","1 can (5 ounces) chunk light tuna in oil, drained","1 can ( 5 ounces ) chunk light tuna in oil , drained","oil-packed light tuna","oil-packed light tuna","0.27959332","6","False"
"982","1 tbsp olive oil","1 tbsp olive oil","olive oil","olive oil","0.09707101","223","False"
"4836","1 3/4 teaspoons salt","1 3 / 4 teaspoons salt","table salt","table salt","0.12035839","208","False"
"2159","1 lemon ((sliced))","1 lemon ( ( sliced ) )","lemon","lemon","0.12534098","28","False"
"7516","1 medium onion (chopped)","1 medium onion ( chopped )","yellow onion","yellow onion","0.09926968","164","False"
"6346","1 12 ounce can black beans, rinsed and drained","1 12 ounce can black beans , rinsed and drained","black bean","black bean","0.15339136","26","False"
"4090","1 clove garlic, grated","1 clove garlic , grated","garlic","garlic","0.15554121","331","False"
"2114","12 ounces raw medium shrimp, peeled, deveined, and patted dry","12 ounces raw medium shrimp , peeled , deveined , and patted dry","shrimp","shrimp","0.17774794","38","False"
"4190","2 tablespoons honey","2 tablespoons honey","honey","honey","0.052571222","60","False"
"5069","1 pound ground lean beef or turkey","1 pound ground lean beef or turkey","93% lean ground beef","93% lean ground beef","0.14154506","4","True"
"3285","4 ounces pepperjack cheese (freshly grated)","4 ounces UNK cheese ( freshly grated )","pepper jack cheese","pepper jack cheese","0.25476125","1","False"
"2341","1 tbsp ginger (finely grated)","1 tbsp ginger ( finely grated )","fresh ginger","fresh ginger","0.15894109","124","False"
"1317","4 cloves garlic, chopped","4 cloves garlic , chopped","garlic","garlic","0.08324829","331","False"
"1086","2 whole eggs","2 whole eggs","egg","egg","0.17788996","93","False"
"5064","1 (15-ounce) can black beans, rinsed and drained","1 ( 15 - ounce ) can black beans , rinsed and drained","black bean","black bean","0.14045304","26","False"
"6903","2/3 cup finely chopped peeled ripe mango","2 / 3 cup finely chopped peeled ripe mango","mango","mango","0.10177718","15","False"
"3736","1 medium head cabbage, cut into 6 wedges","1 medium head cabbage , cut into 6 wedges","green cabbage","green cabbage","0.16752745","12","False"
"676","1 garlic clove, finely chopped","1 garlic clove , finely chopped","garlic","garlic","0.20411569","331","False"
"7943","1/4 cup reduced sodium chicken broth","1 / 4 cup reduced sodium chicken broth","low-sodium chicken broth","low-sodium chicken broth","0.06392175","26","False"
"7453","2 tablespoons chopped fresh cilantro leaves","2 tablespoons chopped fresh cilantro leaves","cilantro","cilantro","0.22151211","117","False"
"708","½ cup chopped fresh cilantro","1 / 2 cup chopped fresh cilantro","cilantro","cilantro","0.16969103","117","False"
"6209","salt to taste","salt to taste","table salt","table salt","0.16778761","208","False"
"58","1 garlic clove, minced","1 garlic clove , minced","garlic","garlic","0.19009636","331","False"
"8747","1 pound medium shrimp, peeled and deveined","1 pound medium shrimp , peeled and deveined","shrimp","shrimp","0.1360508","38","False"
"4155","1 cup chopped tomato","1 cup chopped tomato","tomato","tomato","0.07751153","57","False"
"2484","1 ½ teaspoons salt","1 1 / 2 teaspoons salt","table salt","table salt","0.12180068","208","False"
"7042","3 tablespoons cajun seasoning mix","3 tablespoons UNK seasoning mix","cajun seasoning","cajun seasoning","0.19950029","3","False"
"5460","3 tablespoons reduced-sodium soy sauce","3 tablespoons reduced - sodium soy sauce","low-sodium soy sauce","low-sodium soy sauce","0.039119005","38","False"
"1152","2 Thai chiles (optional)","2 Thai chiles ( optional )","bird's eye chili pepper","bird's eye chili pepper","0.22209568","14","False"
"7639","3-4 tsp chili garlic sauce ((adjust to preferred spice level))","3 - 4 tsp chili garlic sauce ( ( adjust to preferred spice level ) )","chili garlic sauce","chili garlic sauce","0.1739986","16","False"
"1757","1 1/2 tablespoon fresh lemon juice (from 1 lemon)","1 1 / 2 tablespoon fresh lemon juice ( from 1 lemon )","lemon juice","lemon juice","0.1527423","66","False"
"6545","3 tablespoons caesar dressing","3 tablespoons UNK dressing","Caesar dressing","Caesar dressing","0.11092003","1","False"
"7048","1/2 cup flour","1 / 2 cup flour","all-purpose white flour","all-purpose white flour","0.11416899","36","False"
"4017","1 tbsp olive oil","1 tbsp olive oil","olive oil","olive oil","0.09707101","223","False"
"4933","1 mango","1 mango","mango","mango","0.07014176","15","False"
"3256","1 large yellow onion, diced","1 large yellow onion , diced","yellow onion","yellow onion","0.05779203","164","False"
"207","black pepper, to taste","black pepper , to taste","ground black pepper","ground black pepper","0.2113342","200","False"
"62","2 tsp. sesame oil","2 tsp . sesame oil","sesame oil","sesame oil","0.04786623","68","False"
"3582","1 teaspoon vegetable oil","1 teaspoon vegetable oil","vegetable oil","vegetable oil","0.050932847","80","False"
"2","1 unit Lemon","1 UNK Lemon","lemon","lemon","0.24799815","28","False"
"1375","1/4 teaspoon fine sea salt","1 / 4 teaspoon fine sea salt","table salt","table salt","0.1555607","208","True"
"1449","3 Tbsp avocado or olive oil","3 Tbsp avocado or olive oil","avocado oil","avocado oil","0.16303486","9","False"
"1974","1 medium haas avocado, sliced","1 medium UNK avocado , sliced","hass avocado","hass avocado","0.1364224","64","False"
"1605","2 1/4 cups frozen chopped mango ((if fresh, add 1 cup ice))","2 1 / 4 cups frozen chopped mango ( ( if fresh , add 1 cup ice ) )","mango","mango","0.2919518","15","True"
"315","5 cups chopped romaine lettuce","5 cups chopped romaine lettuce","romaine lettuce","romaine lettuce","0.051806245","27","False"
"7874","1 lb. chicken breast","1 lb . chicken breast","skinless chicken breast","skinless chicken breast","0.1334731","53","False"
"8898","1 C cornmeal","1 C cornmeal","yellow cornmeal","yellow cornmeal","0.22248961","1","False"
"2329","2 tablespoons canola oil","2 tablespoons canola oil","canola oil","canola oil","0.05831476","31","False"
"6022","1/2 pound ground turkey","1 / 2 pound ground turkey","ground turkey","ground turkey","0.033193067","16","False"
"5181","2 cups chopped tomatoes (canned are fine; do not drain)","2 cups chopped tomatoes ( canned are fine do not drain )","tomato","tomato","0.14488044","57","False"
"3384","2 apples ((peeled + cut into chunks))","2 apples ( ( peeled cut into chunks ) )","apple","apple","0.1393552","20","False"
"360","3 - 6 birds eye chillies or other small hot red chillies (, chopped (Note 2))","3 - 6 UNK eye UNK or other small hot red UNK ( , chopped ( Note 2 ) )","bird's eye chili pepper","bird's eye chili pepper","0.27682498","14","False"
"690","1-2 cups kale, chopped","1 - 2 cups kale , chopped","kale","kale","0.14134908","15","False"
"3058","½ of a large white onion, big dice","1 / 2 of a large white onion , big dice","white onion","white onion","0.08813846","18","False"
"4262","3/4 cup breadcrumbs","3 / 4 cup breadcrumbs","bread crumb","bread crumb","0.15774265","6","False"
"5230","1/2 teaspoon fine sea salt","1 / 2 teaspoon fine sea salt","table salt","table salt","0.1601558","208","False"
"6028","1/2 teaspoon dried oregano","1 / 2 teaspoon dried oregano","dried oregano leaf","dried oregano leaf","0.063845366","41","False"
"3976","1/2 cup peanuts, chopped","1 / 2 cup peanuts , chopped","dry-roasted peanut","dry-roasted peanut","0.14330336","18","False"
"5221","6 to 8 slices bread","6 to 8 slices bread","sandwich bread","sandwich bread","0.21232535","31","False"
"7256","hot sauce for serving, optional","hot sauce for serving , optional","hot sauce","hot sauce","0.119837664","18","False"
"1409","3 tablespoons sesame oil","3 tablespoons sesame oil","sesame oil","sesame oil","0.03327737","68","False"
"3637","¾ cup canned tomato purée","3 / 4 cup canned tomato purée","tomato puree","tomato puree","0.16631629","3","False"
"4303","1 stalk celery, diced","1 stalk celery , diced","celery","celery","0.08695074","44","False"
"2387","1 medium jalapeno pepper, chopped","1 medium jalapeno pepper , chopped","fresh jalapeno pepper","fresh jalapeno pepper","0.13559829","38","False"
"1469","1 large shallot, (diced (about ¼ to 1/3 cup, or add as much as you like!))","1 large shallot , ( diced ( about 1 / 4 to 1 / 3 cup , or add as much as you like ) )","shallot","shallot","0.16767913","35","False"
"7023","½ teaspoon sesame oil","1 / 2 teaspoon sesame oil","sesame oil","sesame oil","0.033477366","68","False"
"3550","1/2 tbsp poppy seeds","1 / 2 tbsp poppy seeds","poppy seed","poppy seed","0.11037527","3","False"
"8269","2 Garlic Cloves","2 Garlic Cloves","garlic","garlic","0.16530037","331","False"
"8262","1 tablespoon rosemary leaves","1 tablespoon rosemary leaves","fresh rosemary","fresh rosemary","0.15677509","10","False"
"3613","1 medium onion, thinly sliced (about 6 ounces; 170g)","1 medium onion , thinly sliced ( about 6 ounces 170 g )","yellow onion","yellow onion","0.13433036","164","False"
"185","Fresh mint","Fresh mint","fresh spearmint","fresh spearmint","0.17443252","10","False"
"6033","8 eggs, whisked","8 eggs , whisked","egg","egg","0.18105981","93","False"
"4390","2 teaspoons Red Boat fish sauce","2 teaspoons Red Boat fish sauce","fish sauce","fish sauce","0.19426788","23","False"
"4713","12 oz. <p>marinated artichokes, drained and chopped</p>","12 oz . marinated artichokes , drained and chopped","canned artichoke","canned artichoke","0.17429915","1","False"
"844","4 (1/2-inch-thick) slices fresh pineapple","4 ( 1 / 2 - inch - thick ) slices fresh pineapple","fresh pineapple","fresh pineapple","0.11893788","6","False"
"6469","1/4 cup rice wine vinegar","1 / 4 cup rice wine vinegar","rice vinegar","rice vinegar","0.07589986","44","False"
"1706","½ garlic clove minced","1 / 2 garlic clove minced","garlic","garlic","0.21228085","331","False"
"8627","1 small garlic clove, grated","1 small garlic clove , grated","garlic","garlic","0.20127782","331","False"
"519","1 cup frozen mango","1 cup frozen mango","mango","mango","0.20513332","15","False"
"620","2 Tbsp lime juice","2 Tbsp lime juice","lime juice","lime juice","0.06538779","71","False"
"8306","1 tablespoon freshly squeezed lime juice","1 tablespoon freshly squeezed lime juice","lime juice","lime juice","0.063161366","71","False"
"1712","4 boneless (skinless chicken breasts)","4 boneless ( skinless chicken breasts )","skinless chicken breast","skinless chicken breast","0.11146335","53","False"
"2541","1/2 small cucumber","1 / 2 small cucumber","slicing cucumber","slicing cucumber","0.15579292","27","False"
"4172","4 skinless chicken thighs","4 skinless chicken thighs","bone-in chicken thigh with skin","bone-in chicken thigh with skin","0.16153404","8","True"
"5011","1/4 cup chili powder","1 / 4 cup chili powder","chili powder","chili powder","0.10497649","39","False"
"8010","Salsa for serving optional","Salsa for serving optional","salsa","salsa","0.21710756","10","False"
"1514","1 teaspoon salt, or more/less to taste","1 teaspoon salt , or more / less to taste","table salt","table salt","0.16140492","208","False"
"1008","1 Tbsp dark toasted sesame oil (optional)","1 Tbsp dark toasted sesame oil ( optional )","sesame oil","sesame oil","0.1471489","68","False"
"1198","1 tablespoon fresh dill, chopped","1 tablespoon fresh dill , chopped","fresh dill","fresh dill","0.06661405","13","False"
"8097","1 1/2 cups cucumber (grated)","1 1 / 2 cups cucumber ( grated )","slicing cucumber","slicing cucumber","0.18824816","27","False"
"8526","1/4 cup ketchup","1 / 4 cup ketchup","ketchup","ketchup","0.06516108","13","False"
"6669","1/4 tsp black pepper","1 / 4 tsp black pepper","ground black pepper","ground black pepper","0.15886825","200","False"
"6324","4 garlic cloves, finely grated","4 garlic cloves , finely grated","garlic","garlic","0.1624684","331","False"
"2179","1 red onion (thinly sliced)","1 red onion ( thinly sliced )","red onion","red onion","0.10783786","67","False"
"8595","1/8 teaspoon vanilla extract","1 / 8 teaspoon vanilla extract","vanilla extract","vanilla extract","0.043007776","8","False"
"5141","salt, to taste","salt , to taste","table salt","table salt","0.13159099","208","False"
"2303","2 tbsp tomato paste","2 tbsp tomato paste","tomato paste","tomato paste","0.052243955","26","False"
"6806","1 tablespoon oil","1 tablespoon oil","vegetable oil","vegetable oil","0.10913901","80","False"
"7668","2 small apples (peeled, cored and chopped)","2 small apples ( peeled , cored and chopped )","apple","apple","0.17163612","20","False"
"7655","1 large carrot (chopped)","1 large carrot ( chopped )","carrot","carrot","0.06824611","61","False"
"3290","1 tablespoon olive oil","1 tablespoon olive oil","olive oil","olive oil","0.067018144","223","False"
"7876","10 ounces soba noodles","10 ounces soba noodles","soba noodle","soba noodle","0.10445714","2","False"
"4580","1/3 cup light low sodium soy sauce","1 / 3 cup light low sodium soy sauce","low-sodium soy sauce","low-sodium soy sauce","0.067794934","38","False"
"5265","2 scallions ((chopped))","2 scallions ( ( chopped ) )","green onion","green onion","0.13497216","109","False"
"5384","¼ teaspoon sea salt","1 / 4 teaspoon sea salt","table salt","table salt","0.12609541","208","False"
"8869","hummus","hummus","hummus","hummus","0.0","9","False"
"6138","1 cup cherry tomatoes, quartered","1 cup cherry tomatoes , quartered","cherry tomato","cherry tomato","0.10002946","27","False"
"7895","8 ounces mozzarella, sliced","8 ounces mozzarella , sliced","low-moisture part-skim mozzarella cheese","low-moisture part-skim mozzarella cheese","0.18962756","6","True"
"2253","1 cup sliced mushrooms","1 cup sliced mushrooms","white mushroom","white mushroom","0.193925","24","False"
"1238","2 tablespoons honey","2 tablespoons honey","honey","honey","0.052571222","60","False"
"2319","1/2 Tbsp olive oil ( $0.06)","1 / 2 Tbsp olive oil ( 0 . UNK )","olive oil","olive oil","0.10049837","223","False"
"3433","1 tablespoon vegan worcestershire sauce (like Annie's)","1 tablespoon vegan worcestershire sauce ( like UNK s )","worcestershire sauce","worcestershire sauce","0.16266145","24","True"
"4337","4 tablespoons unsalted butter","4 tablespoons unsalted butter","unsalted butter","unsalted butter","0.02350579","93","False"
"641","3 tablespoons Fish sauce","3 tablespoons Fish sauce","fish sauce","fish sauce","0.09350663","23","False"
"4387","2 teaspoons minced fresh ginger","2 teaspoons minced fresh ginger","fresh ginger","fresh ginger","0.09396638","124","False"
"368","2 tbsp peanut butter","2 tbsp peanut butter","peanut butter","peanut butter","0.08057527","22","False"
"887","1 tablespoon low-sodium soy sauce","1 tablespoon low - sodium soy sauce","low-sodium soy sauce","low-sodium soy sauce","0.014813146","38","False"
"6986","1 (15 oz) can black beans, rinsed and drained","1 ( 15 oz ) can black beans , rinsed and drained","black bean","black bean","0.15164384","26","False"
"3846","4 corn tortillas","4 corn tortillas","corn tortilla","corn tortilla","0.12633677","15","False"
"2846","1 15-oz. can tomato sauce","1 15 - oz . can tomato sauce","tomato sauce","tomato sauce","0.06676366","13","False"
"8893","¼ th teaspoon salt","1 / 4 th teaspoon salt","table salt","table salt","0.121420324","208","False"
"4759","1/4 teaspoon all spice","1 / 4 teaspoon all spice","ground allspice","ground allspice","0.25850168","4","False"
"2091","2 garlic cloves, peeled and finely grated","2 garlic cloves , peeled and finely grated","garlic","garlic","0.18345034","331","False"
"4830","Cooking spray","Cooking spray","cooking spray","cooking spray","0.08907216","30","False"
"3464","4 ounce Snow Peas","4 ounce UNK Peas","snow pea","snow pea","0.19267781","3","False"
"7142","8 cups vegetable broth","8 cups vegetable broth","vegetable broth","vegetable broth","0.056686968","29","False"
"8943","½ cup white wine (or sub more broth and a squeeze of lemon)","1 / 2 cup white wine ( or sub more broth and a squeeze of lemon )","white wine","white wine","0.17254834","19","False"
"969","1 cup cottage cheese, rinsed with cold water and drained","1 cup cottage cheese , rinsed with cold water and drained","2% cottage cheese","2% cottage cheese","0.20332864","3","False"
"7851","2 teaspoons ground cumin","2 teaspoons ground cumin","ground cumin","ground cumin","0.057461806","72","False"
"3686","1 tablespoon minced garlic","1 tablespoon minced garlic","garlic","garlic","0.15402938","331","False"
"6098","1/4 cup Parmesan cheese (grated)","1 / 4 cup Parmesan cheese ( grated )","grated parmesan cheese","grated parmesan cheese","0.12617582","57","False"
"4075","1 3 oz. pkg uncooked ramen noodles, seasoning discarded","1 3 oz . UNK uncooked UNK noodles , seasoning discarded","ramen noodle","ramen noodle","0.256241","2","False"
"5394","¼ teaspoon black pepper","1 / 4 teaspoon black pepper","ground black pepper","ground black pepper","0.1489875","200","False"
"5280","1 yellow onion","1 yellow onion","yellow onion","yellow onion","0.041988797","164","False"
"3016","4 Tbsp. fresh lime juice, divided","4 Tbsp . fresh lime juice , divided","lime juice","lime juice","0.095952705","71","False"
"392","1/2 small red onion (finely chopped)","1 / 2 small red onion ( finely chopped )","red onion","red onion","0.1335919","67","False"
"8179","3 tbsp grated pecorino romano cheese","3 tbsp grated pecorino romano cheese","grated parmesan cheese","grated parmesan cheese","0.08570414","57","True"
"213","3 garlic cloves, grated","3 garlic cloves , grated","garlic","garlic","0.13417527","331","False"
"894","1/4 cup hoisin sauce","1 / 4 cup hoisin sauce","hoisin sauce","hoisin sauce","0.07709428","10","False"
"1692","3 tbsp (65ml) cooking oil ((I used vegetable))","3 tbsp ( UNK ) cooking oil ( ( I used vegetable ) )","vegetable oil","vegetable oil","0.15509328","80","False"
"4715","1/2 c. <p>pickled pepper slices, drained</p>","1 / 2 c . pickled pepper slices , drained","pickled sweet red pepper","pickled sweet red pepper","0.23716097","2","False"
"6266","2 tablespoons O Organics Extra Virgin Olive Oil","2 tablespoons O UNK Extra Virgin Olive Oil","extra-virgin olive oil","extra-virgin olive oil","0.23659208","50","False"
"4985","1/2 teaspoon salt","1 / 2 teaspoon salt","table salt","table salt","0.10734048","208","False"
"7123","2 tablespoons basil pesto","2 tablespoons basil pesto","pesto","pesto","0.2070297","3","False"
"753","cooking spray","cooking spray","cooking spray","cooking spray","0.0","30","False"
"441","¼ cup unsalted peanuts, coarsely chopped","1 / 4 cup unsalted peanuts , coarsely chopped","dry-roasted peanut","dry-roasted peanut","0.13944706","18","False"
"5071","1 carrot, chopped","1 carrot , chopped","carrot","carrot","0.08903334","61","False"
"7789","1 teaspoon hot sauce","1 teaspoon hot sauce","hot sauce","hot sauce","0.07749422","18","False"
"1064","1 whole green onion, chopped","1 whole green onion , chopped","green onion","green onion","0.088479124","109","False"
"1392","1-2 stalks green onion, sliced","1 - 2 stalks green onion , sliced","green onion","green onion","0.06671743","109","False"
"8250","¼ teaspoon ground coriander","1 / 4 teaspoon ground coriander","ground coriander","ground coriander","0.039677728","14","False"
"3066","squeeze of lemon, to taste","squeeze of lemon , to taste","lemon juice","lemon juice","0.17327964","66","False"
"6568","1/4 cup heavy cream","1 / 4 cup heavy cream","heavy whipping cream","heavy whipping cream","0.09305031","20","False"
"6174","1 teaspoon celery seed","1 teaspoon celery seed","celery","celery","0.227153","44","False"
"8104","2 teaspoons kosher salt","2 teaspoons kosher salt","kosher salt","kosher salt","0.09152865","113","False"
"8291","2 lb boneless beef sirloin steak, cut into 3x1/2x1/4-inch strips","2 lb boneless beef sirloin steak , cut into UNK / UNK / 4 - inch strips","top sirloin steak","top sirloin steak","0.14198887","6","True"
"8900","1 teaspoon granulated garlic","1 teaspoon granulated garlic","garlic powder","garlic powder","0.19291273","53","True"
"2525","2 tablespoons (30ml) vegetable oil or ghee","2 tablespoons ( UNK ) vegetable oil or ghee","vegetable oil","vegetable oil","0.06776349","80","False"
"8416","1 teaspoon coarse kosher salt","1 teaspoon coarse kosher salt","kosher salt","kosher salt","0.108078115","113","False"
"7870","1 clove garlic","1 clove garlic","garlic","garlic","0.09279769","331","False"
"2038","1/2 cup fresh baby spinach","1 / 2 cup fresh baby spinach","fresh spinach","fresh spinach","0.17861243","50","True"
"4785","6 cloves garlic, peeled and minced","6 cloves garlic , peeled and minced","garlic","garlic","0.1679905","331","False"
"7776","2 tablespoons chopped fresh cilantro","2 tablespoons chopped fresh cilantro","cilantro","cilantro","0.15456524","117","False"
"6422","1 tablespoon freshly chopped basil","1 tablespoon freshly chopped basil","fresh basil","fresh basil","0.09449158","39","False"
"2850","4 medium Idaho potatoes, quartered (~4 cups)","4 medium Idaho potatoes , quartered ( 4 cups )","russet potato","russet potato","0.24564524","21","False"
"8408","6 oz Cherry Tomatoes","6 oz Cherry Tomatoes","cherry tomato","cherry tomato","0.18303928","27","False"
"2092","3 teaspoons Worcestershire sauce","3 teaspoons Worcestershire sauce","worcestershire sauce","worcestershire sauce","0.12132558","24","False"
"4815","¼ cup roughly chopped fresh basil","1 / 4 cup roughly chopped fresh basil","fresh basil","fresh basil","0.0742175","39","False"
"198","2 tablespoons finely chopped fresh cilantro leaves and tender stems","2 tablespoons finely chopped fresh cilantro leaves and tender stems","cilantro","cilantro","0.22693376","117","False"
"8224","1/2 cup walnuts (can sub almonds)","1 / 2 cup walnuts ( can sub almonds )","dry-roasted walnut","dry-roasted walnut","0.3030134","8","True"
"4634","1/2 yellow onion, finely chopped","1 / 2 yellow onion , finely chopped","yellow onion","yellow onion","0.075176686","164","False"
"6493","Pinch of freshly ground black pepper","Pinch of freshly ground black pepper","ground black pepper","ground black pepper","0.06841562","200","False"
"7733","1 tablespoon neutral oil","1 tablespoon neutral oil","vegetable oil","vegetable oil","0.10765365","80","True"
"8191","1 jalapeño, fine dice with seeds (optional)","1 jalapeño , fine dice with seeds ( optional )","fresh jalapeno pepper","fresh jalapeno pepper","0.15417516","38","False"
"8927","4 ounces crumbled Feta Cheese","4 ounces crumbled Feta Cheese","crumbled feta cheese","crumbled feta cheese","0.16333991","17","False"
"4761","1/2 teaspoon coconut sugar","1 / 2 teaspoon coconut sugar","white sugar","white sugar","0.19748798","51","True"
"8816","Sesame oil, for drizzling","Sesame oil , for drizzling","sesame oil","sesame oil","0.20961745","68","False"
"2074","1/4 cup honey","1 / 4 cup honey","honey","honey","0.09891658","60","False"
"8729","1/2 cup shredded part-skim mozzarella cheese","1 / 2 cup shredded part - skim mozzarella cheese","shredded low-moisture part-skim mozzarella cheese","shredded low-moisture part-skim mozzarella cheese","0.07693964","15","False"
"6361","olive oil cooking spray","olive oil cooking spray","cooking spray","cooking spray","0.18387103","30","True"
"4913","1 teaspoon cilantro, roughly chopped","1 teaspoon cilantro , roughly chopped","cilantro","cilantro","0.08930628","117","False"
"2330","1 cup unsalted vegetable stock, divided","1 cup unsalted vegetable stock , divided","vegetable broth","vegetable broth","0.2635204","29","True"
"2857","1/4 teaspoon ground pepper","1 / 4 teaspoon ground pepper","ground black pepper","ground black pepper","0.09690637","200","False"
"3147","Salt","Salt","table salt","table salt","0.14866862","208","False"
"1147","4 or 5 radishes","4 or 5 radishes","radish","radish","0.13725628","8","False"
"1899","20 ounce Ground Pork","20 ounce Ground Pork","ground pork","ground pork","0.20598745","16","False"
"6151","1/8 teaspoon ground white pepper","1 / 8 teaspoon ground white pepper","white pepper","white pepper","0.10493296","10","False"
"7929","4 teaspoons fresh lime juice (about 1/2 small lime)","4 teaspoons fresh lime juice ( about 1 / 2 small lime )","lime juice","lime juice","0.09509945","71","False"
"122","About 3/4 cup white wine","About 3 / 4 cup white wine","white wine","white wine","0.09526448","19","False"
"7620","1 to 2 Thai bird, serrano or jalapeño chile peppers, seeded and minced","1 to 2 Thai bird , serrano or jalapeño chile peppers , seeded and minced","bird's eye chili pepper","bird's eye chili pepper","0.21704404","14","False"
"6918","2 tablespoons canola oil","2 tablespoons canola oil","canola oil","canola oil","0.05831476","31","False"
